Feature,Relative Importance
duration_updated, 0.37 
balance_updated, 0.08 
age_updated, 0.07 
poutcome_success, 0.06 
previous, 0.04 
campaign_updated, 0.03 
housing_yes, 0.03 
contact_unknown, 0.02 
month_oct, 0.02 
month_mar, 0.02 
contact_cellular, 0.02 
month_jun, 0.02 
month_apr, 0.01 
month_may, 0.01 
month_sep, 0.01 
loan_yes, 0.01 
month_aug, 0.01 
poutcome_failure, 0.01 
education_tertiary, 0.01 
month_jul, 0.01 
marital_married, 0.01 
education_secondary, 0.01 
job_blue-collar, 0.01 
month_nov, 0.01 
marital_single, 0.01 
job_management, 0.01 
job_technician, 0.01 
job_admin., 0.01 
month_feb, 0.01 
education_primary, 0.01 
marital_divorced, 0.01 
job_retired, 0.01 
job_services, -   
job_student, -   
contact_telephone, -   
month_jan, -   
education_unknown, -   
job_self-employed, -   
job_unemployed, -   
job_entrepreneur, -   
month_dec, -   
job_housemaid, -   
default_yes, -   
job_unknown, -   
