,Column,vif
12,poutcome_unknown,23.65504069039031
5,age,19.405496714141076
38,month_may,6.254634750377159
6,day,5.899113082009695
17,marital_married,5.824163867203623
13,education_secondary,4.76784333873607
14,education_tertiary,4.433690290826649
3,pdays,4.128600336910097
22,job_management,3.7384956681037043
36,month_jun,3.6158816865850927
18,marital_single,3.435989359026568
8,contact_unknown,3.400849624945622
35,month_jul,3.3687622851285592
31,month_aug,3.31933508556219
30,housing_yes,3.1268345607100776
